,massege,softmax,class
0,зачем это надо,[0. 0. 0. 0. 0. 1.],tag_yes
1,ну,[0.   0.   0.   0.   0.   0.99],tag_yes
2,какая организация?,[0.   0.   0.   0.   0.   0.99],tag_yes
3,во имя чего?,[0. 0. 0. 0. 0. 1.],tag_yes
4,вы тут?,[0.01 0.55 0.01 0.   0.03 0.4 ],tag_no
5,да ну вас!,[0. 0. 0. 0. 0. 1.],tag_yes
6,"приветствую, а что за организация?",[0.   0.1  0.   0.05 0.04 0.81],tag_yes
7,да хорошо,[0. 0. 0. 0. 0. 1.],tag_yes
8,с какой радости?,[0. 0. 0. 0. 0. 1.],tag_yes
9,и что дальше?,[0. 0. 0. 0. 0. 1.],tag_yes
10,скажите вторично,[0.01 0.26 0.   0.   0.36 0.37],tag_yes
11,вне всяких сомнений,[0. 0. 0. 0. 0. 1.],tag_yes
12,не понял,[0.   0.   0.   0.   0.99 0.  ],tag_who_is
13,да нет наверное,[0.   0.43 0.02 0.   0.   0.55],tag_yes
14,"алло, я больше не хочу получать звонки от вас!",[1. 0. 0. 0. 0. 0.],tag_do_not_call
15,сыт по горло,[0.67 0.03 0.01 0.   0.   0.29],tag_do_not_call
16,скорее всего,[0.   0.07 0.   0.   0.   0.92],tag_yes
17,"не, не годится",[0.   0.99 0.   0.   0.   0.  ],tag_no
18,а какая цель звонка?,[0. 0. 0. 0. 0. 1.],tag_yes
19,допустимо,[0.01 0.06 0.   0.   0.   0.92],tag_yes
20,зачем,[0. 0. 0. 0. 0. 1.],tag_yes
21,вероятно,[0.01 0.07 0.   0.   0.   0.92],tag_yes
22,будь здоров!,[0.02 0.03 0.   0.   0.   0.95],tag_yes
23,положим,[0.01 0.01 0.   0.   0.   0.98],tag_yes
24,представьтесь пожалуйста?,[0.   0.   0.   0.   0.98 0.01],tag_who_is
25,кто здесь?,[0. 0. 0. 0. 1. 0.],tag_who_is
26,"нет, в другой раз",[0. 0. 1. 0. 0. 0.],tag_not_now
27,"жаль, но нет",[0. 1. 0. 0. 0. 0.],tag_no
28,еще раз,[0.   0.   0.   0.   0.99 0.01],tag_who_is
29,к прискорбию нет,[0.05 0.94 0.01 0.   0.   0.  ],tag_no
